Date,補習教育
2013-02-01,100.6
2013-03-01,100.7
2013-04-01,100.7
2013-05-01,100.7
2013-06-01,100.7
2013-07-01,100.7
2013-08-01,100.7
2013-09-01,101.1
2013-10-01,101.1
2013-11-01,101.1
2013-12-01,101.1
2014-01-01,101.4
2014-02-01,101.8
2014-03-01,102.3
2014-04-01,104.4
2014-05-01,104.4
2014-06-01,104.4
2014-07-01,104.4
2014-08-01,104.4
2014-09-01,104.5
2014-10-01,104.5
2014-11-01,104.5
2014-12-01,104.6
2015-01-01,104.9
2015-02-01,105.1
2015-03-01,105.6
2015-04-01,105
2015-05-01,105
2015-06-01,105
2015-07-01,105
