Date,教育関係費
2013-02-01,98.8
2013-03-01,98.8
2013-04-01,99.1
2013-05-01,99.1
2013-06-01,99.1
2013-07-01,99.2
2013-08-01,99.1
2013-09-01,99.2
2013-10-01,99.2
2013-11-01,99.2
2013-12-01,99.3
2014-01-01,99.4
2014-02-01,99.5
2014-03-01,99.6
2014-04-01,101.3
2014-05-01,101.4
2014-06-01,101.4
2014-07-01,101.4
2014-08-01,101.4
2014-09-01,101.4
2014-10-01,101.4
2014-11-01,101.4
2014-12-01,101.6
2015-01-01,101.7
2015-02-01,101.7
2015-03-01,101.9
2015-04-01,102.9
2015-05-01,102.9
2015-06-01,102.9
2015-07-01,102.9
